"date","description","account","amount","running total or balance"
"2016/12/21","UpWork - weekly payment","assets:current:accounts receivable","$154.95","$154.95"
"2016/12/21","UpWork - weekly payment","expences:commissions:upwork","$2.00","$156.95"
"2016/12/21","UpWork - weekly payment","income:accounts payable:upwork escrow","$-156.95","0"
"2016/12/21","Anton Babinin (co-founder), Drawing","assets:current:cash","3700 UAH","3700 UAH"
"2016/12/21","Anton Babinin (co-founder), Drawing","expences:commissions:payoneer","$3.15","$3.15, 3700 UAH"
"2016/12/21","Anton Babinin (co-founder), Drawing","assets:current:accounts receivable","$-148.10","$-144.95, 3700 UAH"
"2016/12/21","Kostya (co-founder), Drawing","assets:current:cash","-1600 UAH","$-144.95, 2100 UAH"
"2016/12/21","Kostya (co-founder), Drawing","equity:retained earnings","1600 UAH","$-144.95, 3700 UAH"
"2016/12/21","Anton (co-founder), Drawing","assets:current:cash","-2100 UAH","$-144.95, 1600 UAH"
"2016/12/21","Anton (co-founder), Drawing","equity:retained earnings","2100 UAH","$-144.95, 3700 UAH"
